Pavg,iid,tmstp
267.82529,42,2013-08-19
268.91428333333334,42,2013-08-19
239.30415000000002,42,2013-08-19
231.82902666666664,42,2013-08-19
235.64099666666667,42,2013-08-19
239.6198283333333,42,2013-08-19
272.50302,42,2013-08-19
272.94016666666664,42,2013-08-19
237.54623333333333,42,2013-08-19
113.3643,42,2013-08-19
234.23679833333338,42,2013-08-19
250.00101,42,2013-08-19
276.53114666666664,42,2013-08-19
270.6386166666667,42,2013-08-19
236.92407666666665,42,2013-08-19
237.19886666666667,42,2013-08-19
171.33854999999997,42,2013-08-19
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
0.0,42,2013-08-20
213.37649333333331,42,2013-08-20
234.77063499999997,42,2013-08-20
234.19416000000004,42,2013-08-20
257.2224,42,2013-08-20
272.28308333333337,42,2013-08-20
262.95151166666665,42,2013-08-20
236.32538666666662,42,2013-08-20
236.58259666666666,42,2013-08-20
235.4877816666667,42,2013-08-20
239.3955133333333,42,2013-08-20
264.791795,42,2013-08-20
271.48008333333337,42,2013-08-20
245.25394999999997,42,2013-08-20
234.54157166666667,42,2013-08-20
234.20386333333335,42,2013-08-20
235.7920533333333,42,2013-08-21
260.89181333333335,42,2013-08-21
273.1456766666667,42,2013-08-21
268.02016333333336,42,2013-08-21
237.50393833333334,42,2013-08-21
236.7660666666667,42,2013-08-21
238.3977166666667,42,2013-08-21
239.74973,42,2013-08-21
274.2975533333334,42,2013-08-21
270.7409166666667,42,2013-08-21
240.22832000000002,42,2013-08-21
236.80712666666668,42,2013-08-21
232.63792666666666,42,2013-08-21
240.43751666666665,42,2013-08-21
271.48945,42,2013-08-21
268.06493166666667,42,2013-08-21
238.54315166666666,42,2013-08-21
234.75404166666664,42,2013-08-21
235.03357666666665,42,2013-08-21
242.36262333333332,42,2013-08-21
271.3540666666666,42,2013-08-21
272.16381666666666,42,2013-08-21
260.04465833333336,42,2013-08-21
581.5869333333331,42,2013-08-21
506.9672,42,2013-08-22
330.1866166666667,42,2013-08-22
347.95525,42,2013-08-22
402.50738333333334,42,2013-08-22
318.00201666666663,42,2013-08-22
317.6716500000001,42,2013-08-22
228.740885,42,2013-08-22
267.97667500000006,42,2013-08-22
479.9710000000001,42,2013-08-22
689.3051,42,2013-08-22
606.3590499999999,42,2013-08-22
726.7999666666668,42,2013-08-22
733.1666166666668,42,2013-08-22
433.6670666666667,42,2013-08-22
408.8660000000001,42,2013-08-22
479.31829999999997,42,2013-08-22
570.4124166666666,42,2013-08-22
503.0777166666667,42,2013-08-22
541.3189000000001,42,2013-08-22
549.545,42,2013-08-22
602.7464,42,2013-08-22
462.09755000000007,42,2013-08-22
433.7738,42,2013-08-22
336.98601666666667,42,2013-08-22
323.97071666666665,42,2013-08-23
314.20045,42,2013-08-23
342.3607333333333,42,2013-08-23
325.09365,42,2013-08-23
318.5040666666667,42,2013-08-23
318.6000499999999,42,2013-08-23
318.6726166666666,42,2013-08-23
326.17118333333326,42,2013-08-23
249.40116666666665,42,2013-08-23
777.8255,42,2013-08-23
527.2462166666667,42,2013-08-23
334.85568333333333,42,2013-08-23
414.18532166666665,42,2013-08-23
1380.67715,42,2013-08-23
621.7289166666667,42,2013-08-23
352.89828333333327,42,2013-08-23
353.2957666666667,42,2013-08-23
356.6508833333333,42,2013-08-23
356.84000000000003,42,2013-08-23
373.05106666666666,42,2013-08-23
355.60166666666663,42,2013-08-23
344.8866,42,2013-08-23
282.07081666666664,42,2013-08-23
269.39734999999996,42,2013-08-23
294.37028333333336,42,2013-08-24
330.63348333333334,42,2013-08-24
269.86015,42,2013-08-24
267.0860333333334,42,2013-08-24
295.10128333333336,42,2013-08-24
325.5013333333334,42,2013-08-24
263.06495,42,2013-08-24
260.93395,42,2013-08-24
296.2444000000001,42,2013-08-24
321.2792666666666,42,2013-08-24
259.6468833333333,42,2013-08-24
261.40275,42,2013-08-24
303.5643666666667,42,2013-08-24
315.41388333333333,42,2013-08-24
263.12785,42,2013-08-24
262.5458500000001,42,2013-08-24
311.7758833333332,42,2013-08-24
303.6546499999999,42,2013-08-24
261.3804833333333,42,2013-08-24
263.61226666666664,42,2013-08-24
330.11973333333333,42,2013-08-24
276.4035666666667,42,2013-08-24
259.8950833333334,42,2013-08-24
293.8313833333333,42,2013-08-24
322.41096666666664,42,2013-08-25
260.23376666666667,42,2013-08-25
256.63055,42,2013-08-25
315.0988833333333,42,2013-08-25
301.08938333333333,42,2013-08-25
260.26391666666666,42,2013-08-25
269.21925,42,2013-08-25
325.12153333333333,42,2013-08-25
275.3854333333333,42,2013-08-25
255.13128333333336,42,2013-08-25
297.75251666666674,42,2013-08-25
316.58753333333334,42,2013-08-25
261.27755,42,2013-08-25
266.40656666666666,42,2013-08-25
332.4831666666667,42,2013-08-25
283.4071333333333,42,2013-08-25
262.9158,42,2013-08-25
289.09524999999996,42,2013-08-25
329.0187,42,2013-08-25
261.67670000000004,42,2013-08-25
262.5914333333333,42,2013-08-25
310.14485,42,2013-08-25
306.20096666666666,42,2013-08-25
260.0787333333333,42,2013-08-25
259.49965,42,2013-08-26
327.7224833333333,42,2013-08-26
280.68078333333335,42,2013-08-26
39.018299999999996,42,2013-08-26
0.0,42,2013-08-26
0.0,42,2013-08-26
0.0,42,2013-08-26
0.0,42,2013-08-26
0.0,42,2013-08-26
13.061966666666669,42,2013-08-26
254.35711666666668,42,2013-08-26
282.0025166666666,42,2013-08-26
324.79991666666666,42,2013-08-26
254.42774999999997,42,2013-08-26
253.68421666666666,42,2013-08-26
317.02151666666674,42,2013-08-26
292.16948333333335,42,2013-08-26
254.70915000000002,42,2013-08-26
275.5039666666667,42,2013-08-26
330.53883333333334,42,2013-08-26
256.96953333333335,42,2013-08-26
253.1614833333333,42,2013-08-26
315.34515,42,2013-08-26
381.46181666666666,42,2013-08-26
359.7430166666666,42,2013-08-27
260.3951,42,2013-08-27
282.62555000000003,42,2013-08-27
319.1164666666666,42,2013-08-27
266.0290166666667,42,2013-08-27
252.19753333333333,42,2013-08-27
281.7763833333333,42,2013-08-27
314.33355,42,2013-08-27
259.9932333333333,42,2013-08-27
249.90203333333335,42,2013-08-27
285.5180166666667,42,2013-08-27
312.31741666666665,42,2013-08-27
253.99218333333334,42,2013-08-27
250.91036666666665,42,2013-08-27
287.45591666666667,42,2013-08-27
310.81966666666665,42,2013-08-27
257.73178333333334,42,2013-08-27
250.93348333333333,42,2013-08-27
282.5076499999999,42,2013-08-27
313.9387666666666,42,2013-08-27
250.32005,42,2013-08-27
246.85601666666668,42,2013-08-27
299.2809333333334,42,2013-08-27
298.99923333333334,42,2013-08-27
250.2304833333333,42,2013-08-28
248.9047166666667,42,2013-08-28
302.79459999999995,42,2013-08-28
301.43325,42,2013-08-28
250.35858333333334,42,2013-08-28
246.80961666666664,42,2013-08-28
297.1230166666666,42,2013-08-28
300.1504000000001,42,2013-08-28
246.4195,42,2013-08-28
243.87834999999998,42,2013-08-28
309.6907499999999,42,2013-08-28
287.49763333333334,42,2013-08-28
246.93105000000003,42,2013-08-28
254.93415000000002,42,2013-08-28
312.5961333333334,42,2013-08-28
272.7133333333333,42,2013-08-28
247.89533333333335,42,2013-08-28
266.5986166666667,42,2013-08-28
312.70556666666664,42,2013-08-28
257.4097833333334,42,2013-08-28
243.37856666666667,42,2013-08-28
282.8088166666667,42,2013-08-28
307.2996166666666,42,2013-08-28
252.63514999999995,42,2013-08-28
244.84025000000003,42,2013-08-29
285.4089666666667,42,2013-08-29
309.64785,42,2013-08-29
241.83695,42,2013-08-29
240.02783333333335,42,2013-08-29
300.8795666666667,42,2013-08-29
288.8258,42,2013-08-29
242.19263333333336,42,2013-08-29
253.0837,42,2013-08-29
313.1036500000001,42,2013-08-29
262.18508333333335,42,2013-08-29
243.01455,42,2013-08-29
279.42851666666667,42,2013-08-29
310.58340000000004,42,2013-08-29
244.86816666666667,42,2013-08-29
242.96441666666664,42,2013-08-29
537.1005833333334,42,2013-08-29
585.6976000000001,42,2013-08-29
625.46345,42,2013-08-29
685.4272166666667,42,2013-08-29
578.9136666666667,42,2013-08-29
686.45155,42,2013-08-29
537.3987500000001,42,2013-08-29
487.1574166666667,42,2013-08-29
391.87263333333334,42,2013-08-30
229.9873233333333,42,2013-08-30
339.69473500000004,42,2013-08-30
306.7627999999999,42,2013-08-30
226.45342166666666,42,2013-08-30
280.65585000000004,42,2013-08-30
248.39907166666669,42,2013-08-30
215.47246,42,2013-08-30
210.7412833333333,42,2013-08-30
620.14345,42,2013-08-30
969.40375,42,2013-08-30
909.3447500000002,42,2013-08-30
633.9726833333334,42,2013-08-30
1527.3195166666665,42,2013-08-30
966.1588500000001,42,2013-08-30
331.06700000000006,42,2013-08-30
318.7691166666666,42,2013-08-30
488.1403333333334,42,2013-08-30
462.01210000000003,42,2013-08-30
613.2029500000001,42,2013-08-30
894.6920666666666,42,2013-08-30
674.98775,42,2013-08-30
495.0893500000001,42,2013-08-30
484.7807000000001,42,2013-08-30
481.5132166666666,42,2013-08-31
338.68195000000003,42,2013-08-31
224.65934666666666,42,2013-08-31
218.46323666666666,42,2013-08-31
235.31936666666667,42,2013-08-31
261.4415133333333,42,2013-08-31
319.21918,42,2013-08-31
227.70114999999998,42,2013-08-31
297.374385,42,2013-08-31
608.6109666666667,42,2013-08-31
407.30321666666663,42,2013-08-31
475.55047833333333,42,2013-08-31
2436.5424,42,2013-08-31
694.8857333333334,42,2013-08-31
